"","country_txt","ISO3"
"1","Afghanistan","AFG"
"2","Albania","ALB"
"3","Algeria","DZA"
"4","Andorra","AND"
"5","Angola","AGO"
"6","Antigua and Barbuda","ATG"
"7","Argentina","ARG"
"8","Armenia","ARM"
"9","Australia","AUS"
"10","Austria","AUT"
"11","Azerbaijan","AZE"
"12","Bahamas","BHS"
"13","Bahrain","BHR"
"14","Bangladesh","BGD"
"15","Barbados","BRB"
"16","Belarus","BLR"
"17","Belgium","BEL"
"18","Belize","BLZ"
"19","Benin","BEN"
"20","Bhutan","BTN"
"21","Bolivia","BOL"
"22","Bosnia-Herzegovina","BIH"
"23","Botswana","BWA"
"24","Brazil","BRA"
"25","Brunei","BRN"
"26","Bulgaria","BGR"
"27","Burkina Faso","BFA"
"28","Burundi","BDI"
"29","Cambodia","KHM"
"30","Cameroon","CMR"
"31","Canada","CAN"
"32","Central African Republic","CAF"
"33","Chad","TCD"
"34","Chile","CHL"
"35","China","CHN"
"36","Colombia","COL"
"37","Comoros","COM"
"38","Costa Rica","CRI"
"39","Croatia","HRV"
"40","Cuba","CUB"
"41","Cyprus","CYP"
"42","Czechoslovakia","CSK"
"43","Czech Republic","CZE"
"44","Democratic Republic of the Congo","COD"
"45","Denmark","DNK"
"46","Djibouti","DJI"
"47","Dominica","DMA"
"48","Dominican Republic","DOM"
"49","East Germany (GDR)","DDR"
"50","East Timor","TLS"
"51","Ecuador","ECU"
"52","Egypt","EGY"
"53","El Salvador","SLV"
"54","Equatorial Guinea","GNQ"
"55","Eritrea","ERI"
"56","Estonia","EST"
"57","Ethiopia","ETH"
"58","Falkland Islands","FLK"
"59","Fiji","FJI"
"60","Finland","FIN"
"61","France","FRA"
"62","French Guiana","GUF"
"63","French Polynesia","PYF"
"64","Gabon","GAB"
"65","Gambia","GMB"
"66","Georgia","GEO"
"67","Germany","DEU"
"68","Ghana","GHA"
"69","Gibraltar","GIB"
"70","Greece","GRC"
"71","Grenada","GRD"
"72","Guadeloupe","GLP"
"73","Guatemala","GTM"
"74","Guinea","GIN"
"75","Guinea-Bissau","GNB"
"76","Guyana","GUY"
"77","Haiti","HTI"
"78","Honduras","HND"
"79","Hong Kong","HKG"
"80","Hungary","HUN"
"81","Iceland","ISL"
"82","India","IND"
"83","Indonesia","IDN"
"84","International",NA
"85","Iran","IRN"
"86","Iraq","IRQ"
"87","Ireland","IRL"
"88","Israel","ISR"
"89","Italy","ITA"
"90","Ivory Coast","CIV"
"91","Jamaica","JAM"
"92","Japan","JPN"
"93","Jordan","JOR"
"94","Kazakhstan","KAZ"
"95","Kenya","KEN"
"96","Kosovo",NA
"97","Kuwait","KWT"
"98","Kyrgyzstan","KGZ"
"99","Laos","LAO"
"100","Latvia","LVA"
"101","Lebanon","LBN"
"102","Lesotho","LSO"
"103","Liberia","LBR"
"104","Libya","LBY"
"105","Lithuania","LTU"
"106","Luxembourg","LUX"
"107","Macau","MAC"
"108","Macedonia","MKD"
"109","Madagascar","MDG"
"110","Malawi","MWI"
"111","Malaysia","MYS"
"112","Maldives","MDV"
"113","Mali","MLI"
"114","Malta","MLT"
"115","Martinique","MTQ"
"116","Mauritania","MRT"
"117","Mauritius","MUS"
"118","Mexico","MEX"
"119","Moldova","MDA"
"120","Montenegro","MNE"
"121","Morocco","MAR"
"122","Mozambique","MOZ"
"123","Myanmar","MMR"
"124","Namibia","NAM"
"125","Nepal","NPL"
"126","Netherlands","NLD"
"127","New Caledonia","NCL"
"128","New Hebrides","VUT"
"129","New Zealand","NZL"
"130","Nicaragua","NIC"
"131","Niger","NER"
"132","Nigeria","NGA"
"133","North Korea","PRK"
"134","North Yemen",NA
"135","Norway","NOR"
"136","Pakistan","PAK"
"137","Panama","PAN"
"138","Papua New Guinea","PNG"
"139","Paraguay","PRY"
"140","People's Republic of the Congo","COG"
"141","Peru","PER"
"142","Philippines","PHL"
"143","Poland","POL"
"144","Portugal","PRT"
"145","Qatar","QAT"
"146","Republic of the Congo","COG"
"147","Rhodesia","ZWE"
"148","Romania","ROU"
"149","Russia","RUS"
"150","Rwanda","RWA"
"151","Saudi Arabia","SAU"
"152","Senegal","SEN"
"153","Serbia","SRB"
"154","Serbia-Montenegro",NA
"155","Seychelles","SYC"
"156","Sierra Leone","SLE"
"157","Singapore","SGP"
"158","Slovak Republic","SVK"
"159","Slovenia","SVN"
"160","Solomon Islands","SLB"
"161","Somalia","SOM"
"162","South Africa","ZAF"
"163","South Korea","KOR"
"164","South Sudan","SSD"
"165","South Vietnam","VNM"
"166","South Yemen","YMD"
"167","Soviet Union","RUS"
"168","Spain","ESP"
"169","Sri Lanka","LKA"
"170","St. Kitts and Nevis","KNA"
"171","St. Lucia","LCA"
"172","Sudan","SDN"
"173","Suriname","SUR"
"174","Swaziland","SWZ"
"175","Sweden","SWE"
"176","Switzerland","CHE"
"177","Syria","SYR"
"178","Taiwan","TWN"
"179","Tajikistan","TJK"
"180","Tanzania","TZA"
"181","Thailand","THA"
"182","Togo","TGO"
"183","Trinidad and Tobago","TTO"
"184","Tunisia","TUN"
"185","Turkey","TUR"
"186","Turkmenistan","TKM"
"187","Uganda","UGA"
"188","Ukraine","UKR"
"189","United Arab Emirates","ARE"
"190","United Kingdom","GBR"
"191","United States","USA"
"192","Uruguay","URY"
"193","Uzbekistan","UZB"
"194","Vanuatu","VUT"
"195","Vatican City","VAT"
"196","Venezuela","VEN"
"197","Vietnam","VNM"
"198","Wallis and Futuna","WLF"
"199","West Bank and Gaza Strip","PSE"
"200","Western Sahara","ESH"
"201","West Germany (FRG)","DEU"
"202","Yemen","YEM"
"203","Yugoslavia","YUG"
"204","Zaire","COD"
"205","Zambia","ZMB"
"206","Zimbabwe","ZWE"
